KXNCAAFGAME-26SEP17SYRPITT-PITT captured 743 trades; 150 candles
KXNCAAFGAME-26SEP17SYRPITT-SYR captured 529 trades; 147 candles
KXNCAAFGAME-26SEP18HOUTTU-TTU captured 2002 trades; 151 candles
KXNCAAFGAME-26SEP18MIAWAKE-WAKE captured 1046 trades; 151 candles
KXNCAAFGAME-26SEP18HOUTTU-HOU captured 3708 trades; 151 candles
KXNCAAFGAME-26SEP18MIAWAKE-MIA captured 1794 trades; 151 candles
KXNCAAFGAME-26SEP18PRSTORE-ORE captured 20 trades; 151 candles
KXWNBAGAME-26SEP17CONNATL-CONN captured 135 trades; 132 candles
KXWNBAGAME-26SEP17CONNATL-ATL captured 163 trades; 132 candles
KXNCAAFGAME-26SEP18PRSTORE-PRST captured 1064 trades; 151 candles
KXWNBAGAME-26SEP17LADAL-DAL captured 172 trades; 112 candles
KXWNBAGAME-26SEP17LADAL-LA captured 73 trades; 110 candles
KXWNBAGAME-26SEP17LVSEA-LV captured 267 trades; 139 candles
KXWNBAGAME-26SEP17LVSEA-SEA captured 38 trades; 110 candles
KXWNBAGAME-26SEP17PHXPDX-PDX captured 84 trades; 110 candles
KXWNBAGAME-26SEP17PHXPDX-PHX captured 133 trades; 110 candles
COMPLETE True
