study,family,decision,races,arm,brier,brier_delta_vs_market,signals,hypothetical_net_dollars,capital_dollars,hypothetical_return_on_capital,extra_3c_cost_same_trades_net,excluding_best_two_winners_net
NH-001A,house,2024-11-04T22:00:00Z,19,market,0.24175921052631577,0.0,0,0,0,,0.0,0
NH-001A,house,2024-11-04T22:00:00Z,19,model,0.18804427157894738,-0.053714938947368396,6,2.577394,3.422606,0.7530501611929623,2.397394,1.5721699999999998
NH-001A,house,2024-11-04T22:00:00Z,19,hybrid_50,0.21185910736842106,-0.029900103157894736,2,0.88556,1.11444,0.7946233085675316,0.8255600000000001,0.0
NH-001A,house,2024-11-04T22:00:00Z,19,hybrid_25,0.22604850052631578,-0.01571070999999999,0,0,0,,0.0,0
NH-001A,house,2024-11-04T22:00:00Z,19,no_trade,,,0,0,0,,,
NH-001A,house,2024-11-05T16:00:00Z,23,market,0.23091304347826086,0.0,0,0,0,,0.0,0
NH-001A,house,2024-11-05T16:00:00Z,23,model,0.19170794521739132,-0.03920509826086956,8,2.7047599999999994,4.295240000000001,0.6297110289529803,2.464759999999999,1.5880729999999994
NH-001A,house,2024-11-05T16:00:00Z,23,hybrid_50,0.20867019282608695,-0.02224285065217393,3,1.5194389999999998,1.4805610000000002,1.0262589653516467,1.4294389999999997,0.4027519999999998
NH-001A,house,2024-11-05T16:00:00Z,23,hybrid_25,0.21913154277173913,-0.011781500706521732,1,0.6140749999999999,0.385925,1.591177042171406,0.5840749999999999,0.0
NH-001A,house,2024-11-05T16:00:00Z,23,no_trade,,,0,0,0,,,
NH-001A,senate,2024-11-04T22:00:00Z,12,market,0.08855625,0.0,0,0,0,,0.0,0
NH-001A,senate,2024-11-04T22:00:00Z,12,model,0.09135311833333332,0.00279686833333332,3,-0.4543420000000001,1.454342,-0.3124038224846701,-0.5443420000000001,-0.6040099999999999
NH-001A,senate,2024-11-04T22:00:00Z,12,hybrid_50,0.08903686291666668,0.0004806129166666768,0,0,0,,0.0,0
NH-001A,senate,2024-11-04T22:00:00Z,12,hybrid_25,0.08856710114583333,1.0851145833321691e-05,0,0,0,,0.0,0
NH-001A,senate,2024-11-04T22:00:00Z,12,no_trade,,,0,0,0,,,
NH-001A,senate,2024-11-05T16:00:00Z,13,market,0.07524423076923077,0.0,0,0,0,,0.0,0
NH-001A,senate,2024-11-05T16:00:00Z,13,model,0.08432600461538461,0.00908177384615383,5,-0.09145000000000009,3.09145,-0.029581587927994982,-0.24145000000000008,-0.4679300000000001
NH-001A,senate,2024-11-05T16:00:00Z,13,hybrid_50,0.0785220396153846,0.0032778088461538355,1,-0.385925,0.385925,-1.0,-0.415925,-0.385925
NH-001A,senate,2024-11-05T16:00:00Z,13,hybrid_25,0.07656736567307693,0.0013231349038461569,0,0,0,,0.0,0
NH-001A,senate,2024-11-05T16:00:00Z,13,no_trade,,,0,0,0,,,
